,columns,unqiue_count,unique_values
0,TRANSACTIONID,16467,"['JT-ST-JT-ST-T1-200820' 'JT-ST-JT-ST-T1-200916' 'JT-ST-JT-ST-T1-200917'
 ... 'JT-ST-JT-ST-T3-37297' 'JT-ST-JT-ST-T3-37298' 'JT-ST-JT-ST-T3-37299']"
1,LINENUM,105,"[  1.   2.   6.   7.   8.   5.   4.   3.  11.  15.   9.  19.  18.  17.
  16.  14.  13.  12.  10.  36.  37.  20.  21.  22.  23.  24.  25.  26.
  27.  28.  29.  30.  31.  32.  33.  34.  35.  38.  39.  40.  41.  42.
  43.  44.  45.  46.  47.  48.  49.  50.  51.  52.  53.  54.  55.  56.
  57.  58.  59.  61.  62.  63.  64.  65.  66.  67.  68.  70.  71.  72.
  73.  74.  75.  76.  77.  78.  79.  80.  81.  82.  84.  85.  86.  60.
  69.  83.  87.  88.  89.  90.  91.  92.  93.  94.  95.  96.  97.  98.
  99. 100. 101. 102. 103. 104. 105.]"
2,RECEIPTID,16467,"['1-JT-ST-T1182883' '2-JT-ST-T1001295' '1-JT-ST-T1182960' ...
 '1-JT-ST-T3027072' '1-JT-ST-T3027073' '1-JT-ST-T3027074']"
3,BARCODE,5705,"[9.80546300e+12 1.42744000e+05 9.81158500e+12 ... 5.20217500e+12
 8.96100506e+12 8.96101424e+12]"
4,ITEMID,4186,[  5463. 142744. 100016. ... 105055. 149069. 110517.]
5,PRICE,545,"[2.480e+02 1.980e+02 1.780e+02 3.000e+01 1.740e+02 2.000e+01 2.980e+02
 9.900e+01 6.000e+02 4.400e+01 1.680e+02 9.800e+01 3.280e+02 4.800e+01
 1.080e+02 9.600e+01 1.480e+02 3.150e+02 8.400e+01 8.200e+01 4.500e+01
 4.540e+02 2.860e+02 1.280e+02 7.200e+01 2.400e+01 7.500e+02 1.630e+02
 1.580e+02 2.890e+02 3.340e+02 6.900e+01 6.000e+01 5.000e+01 2.500e+01
 4.000e+01 1.500e+01 5.980e+02 6.980e+02 1.198e+03 1.160e+02 1.400e+02
 1.100e+02 7.800e+01 9.980e+02 5.500e+01 2.990e+02 1.940e+02 2.780e+02
 2.740e+02 5.990e+02 1.378e+03 1.148e+03 5.480e+02 5.240e+02 2.280e+02
 3.480e+02 1.260e+02 1.990e+02 1.350e+02 2.580e+02 4.900e+01 3.500e+01
 1.470e+02 2.020e+02 1.380e+02 1.860e+02 9.000e+01 1.200e+02 5.200e+01
 8.600e+01 1.520e+02 6.800e+01 1.700e+01 1.220e+02 9.000e+02 5.400e+01
 7.980e+02 1.500e+02 5.590e+02 3.980e+02 2.500e+02 2.600e+01 2.640e+02
 1.300e+02 4.000e+02 6.950e+02 6.200e+01 1.880e+02 4.480e+02 6.740e+02
 3.400e+01 7.680e+02 3.290e+02 8.500e+01 2.080e+02 2.000e+03 1.360e+02
 2.180e+02 6.400e+01 4.990e+02 4.500e+02 1.000e+01 9.990e+02 1.240e+02
 8.000e+01 9.400e+01 1.600e+02 3.800e+01 7.500e+01 1.540e+02 5.250e+02
 2.840e+02 3.740e+02 2.400e+02 3.000e+02 1.899e+03 8.990e+02 7.990e+02
 2.350e+02 1.640e+02 3.250e+02 4.180e+02 4.700e+02 2.750e+02 6.200e+02
 1.920e+02 1.440e+02 3.940e+02 4.980e+02 5.780e+02 1.250e+02 9.500e+01
 2.420e+02 6.480e+02 2.490e+02 3.990e+02 4.840e+02 1.390e+02 6.840e+02
 2.900e+01 1.190e+02 1.748e+03 2.440e+02 3.090e+02 2.850e+02 3.540e+02
 5.100e+02 3.640e+02 1.340e+02 2.590e+02 7.000e+01 2.690e+02 2.940e+02
 1.140e+02 5.140e+02 5.900e+01 1.820e+02 3.240e+02 2.240e+02 2.140e+02
 8.950e+02 6.340e+02 5.380e+02 1.800e+02 3.680e+02 6.500e+01 1.490e+02
 1.278e+03 5.080e+02 3.590e+02 3.080e+02 5.640e+02 2.700e+02 3.840e+02
 3.600e+01 1.290e+02 1.320e+02 4.350e+02 3.750e+02 8.490e+02 2.560e+02
 1.000e+03 3.440e+02 3.690e+02 9.840e+02 2.100e+02 1.750e+02 1.399e+03
 5.280e+02 3.780e+02 4.560e+02 8.980e+02 9.200e+01 5.340e+02 1.180e+02
 4.380e+02 4.690e+02 3.600e+02 6.300e+01 3.360e+02 4.960e+02 4.750e+02
 4.440e+02 5.840e+02 5.580e+02 1.690e+02 7.840e+02 1.448e+03 2.200e+01
 7.480e+02 7.400e+01 3.580e+02 3.320e+02 9.240e+02 1.040e+02 4.700e+01
 5.800e+01 1.590e+02 3.960e+02 1.548e+03 7.540e+02 2.680e+02 1.120e+02
 3.900e+01 4.400e+02 1.790e+02 1.975e+03 3.800e+02 8.650e+02 2.880e+02
 1.840e+02 2.340e+02 3.140e+02 4.240e+02 2.380e+02 1.000e+02 3.380e+02
 1.048e+03 1.850e+02 2.120e+02 6.250e+02 7.340e+02 1.495e+03 4.740e+02
 1.450e+02 4.780e+02 8.480e+02 2.595e+03 2.200e+02 3.200e+02 5.860e+02
 2.800e+01 5.900e+02 2.900e+02 2.600e+02 2.450e+02 7.640e+02 9.500e+02
 4.950e+02 1.195e+03 5.740e+02 7.000e+02 2.000e+02 1.699e+03 1.250e+03
 8.190e+02 1.049e+03 5.490e+02 1.420e+02 2.720e+02 8.300e+01 6.360e+02
 6.690e+02 6.880e+02 4.200e+01 8.900e+01 1.150e+02 7.380e+02 6.490e+02
 8.800e+01 1.113e+03 5.950e+02 4.720e+02 6.160e+02 5.940e+02 9.480e+02
 3.300e+02 1.955e+03 1.095e+03 5.100e+01 1.200e+01 5.180e+02 1.900e+01
 2.300e+01 7.900e+01 4.940e+02 9.750e+02 2.150e+02 2.540e+02 3.500e+02
 1.199e+03 2.399e+03 5.850e+02 3.880e+02 4.580e+02 5.350e+02 1.264e+03
 1.960e+02 4.080e+02 3.180e+02 5.880e+02 1.650e+02 3.950e+02 7.450e+02
 9.300e+01 4.360e+02 7.600e+01 6.350e+02 2.290e+02 3.650e+02 8.100e+02
 1.700e+02 6.780e+02 1.168e+03 8.640e+02 6.140e+02 5.150e+02 1.400e+01
 2.950e+02 4.280e+02 7.300e+01 8.940e+02 9.740e+02 5.200e+02 3.100e+02
 6.080e+02 4.800e+02 4.680e+02 1.186e+03 5.500e+02 6.440e+02 5.560e+02
 5.400e+02 1.599e+03 2.300e+02 2.299e+03 2.760e+02 7.440e+02 1.149e+03
 6.280e+02 4.140e+02 1.900e+02 8.750e+02 6.600e+02 6.790e+02 4.340e+02
 4.640e+02 2.800e+02 3.400e+02 1.950e+02 1.928e+03 5.680e+02 2.320e+02
 5.300e+01 1.298e+03 1.158e+03 6.240e+02 6.500e+02 6.580e+02 1.090e+02
 4.100e+02 9.900e+02 1.550e+02 2.160e+02 8.450e+02 2.650e+02 1.230e+03
 2.250e+02 7.200e+02 4.150e+02 3.350e+02 2.090e+02 3.420e+02 6.960e+02
 7.950e+02 7.650e+02 1.398e+03 6.990e+02 1.598e+03 1.230e+02 6.680e+02
 4.490e+02 2.748e+03 8.400e+02 3.850e+02 5.450e+02 1.374e+03 8.340e+02
 8.280e+02 4.760e+02 9.680e+02 7.890e+02 9.490e+02 3.900e+02 6.450e+02
 3.700e+02 7.580e+02 4.880e+02 6.600e+01 7.880e+02 4.590e+02 5.360e+02
 1.224e+03 9.320e+02 2.960e+02 3.490e+02 1.044e+03 2.050e+02 7.780e+02
 6.940e+02 1.970e+02 1.395e+03 8.290e+02 8.780e+02 3.040e+02 1.068e+03
 7.590e+02 3.050e+02 1.890e+02 2.520e+02 2.548e+03 8.090e+02 2.895e+03
 1.134e+03 1.445e+03 1.778e+03 3.450e+02 1.799e+03 4.300e+02 2.920e+02
 3.200e+01 6.380e+02 1.810e+02 1.170e+02 1.000e-02 9.640e+02 1.594e+03
 7.900e+02 1.299e+03 1.099e+03 5.700e+01 1.950e+03 7.280e+02 8.740e+02
 9.700e+01 1.270e+02 1.098e+03 7.180e+02 1.760e+02 9.780e+02 7.690e+02
 7.490e+02 2.799e+03 2.390e+02 1.050e+02 7.740e+02 9.180e+02 5.440e+02
 1.475e+03 1.830e+02 1.228e+03 5.000e+02 3.700e+01 9.950e+02 1.770e+02
 8.200e+02 1.498e+03 4.550e+02 2.550e+02 5.700e+02 3.810e+02 4.250e+02
 2.699e+03 1.288e+03 9.100e+01 5.790e+02 1.029e+03 2.850e+03 3.790e+02
 6.560e+02 6.000e+00 1.028e+03 1.210e+02 8.300e+02 1.560e+02 1.499e+03
 2.048e+03 8.500e+02 1.140e+03 9.880e+02 7.240e+02 1.570e+02 6.540e+02
 4.200e+02 2.270e+02 9.940e+02 6.590e+02 5.600e+01 8.380e+02 1.430e+02
 2.378e+03 1.078e+03 8.240e+02 1.800e+03 1.084e+03 1.238e+03 2.190e+02
 1.494e+03 4.300e+01 1.698e+03 4.299e+03 2.100e+03 1.528e+03 1.074e+03
 1.128e+03 2.448e+03 1.730e+02 8.180e+02 1.774e+03 1.948e+03 5.390e+02
 9.280e+02 3.199e+03 3.294e+03 2.058e+03 1.428e+03 2.245e+03 6.640e+02
 8.440e+02 1.248e+03 1.990e+03 5.800e+02 2.795e+03 5.448e+03]"
6,QTY,364,"[-1.0000e+00  1.0000e+00 -8.3500e-01 -2.0000e+00 -5.0000e+00 -3.0000e+00
 -4.0000e+00 -5.4000e-01 -1.0100e+00 -1.3000e+01 -2.9000e-01 -2.5000e+01
 -5.2500e-01 -2.5000e-01 -5.0500e-01 -5.1000e-01 -2.9500e-01 -4.9500e-01
 -5.3500e-01 -1.0000e+01 -2.5500e-01 -2.8500e-01 -5.1500e-01 -3.1000e-01
 -7.4000e-01 -3.9500e-01 -6.0000e+00 -4.9000e-01 -3.7000e-01 -5.2000e-01
 -2.7000e-01 -3.2500e-01 -5.5000e-01 -1.8000e-01 -3.8500e-01 -5.0000e-01
 -2.3500e-01 -6.6000e-01 -5.6000e-01 -2.8000e-01 -5.8500e-01 -1.2000e+01
 -5.7500e-01 -5.8000e-01 -8.2000e-01 -5.4500e-01 -3.4000e-01 -4.8500e-01
 -3.2000e-01 -6.7000e-01 -4.8000e-01 -2.1000e-01 -5.3000e-01 -2.4500e-01
 -4.7500e-01 -3.5500e-01 -3.4500e-01 -3.3500e-01 -4.7000e-01 -5.9000e-01
 -2.2900e+00 -8.0000e+00 -1.9400e+00 -8.0000e-01 -7.4500e-01 -2.6500e-01
 -4.1000e-01 -2.1500e-01 -4.5500e-01 -2.7500e-01 -2.6000e-01 -3.0000e-01
 -6.8500e-01 -3.7500e-01 -1.6000e+01 -1.0250e+00 -3.8000e-01 -1.1500e+00
 -7.6000e-01 -5.9500e-01 -7.9000e-01 -8.0500e-01 -2.2500e-01 -1.0300e+00
 -4.1500e-01 -5.7000e-01 -7.7000e-01 -2.3000e-01 -2.0500e-01 -7.9500e-01
 -1.6500e-01 -1.4500e-01 -3.3000e+01 -2.6000e+01 -7.5000e-01 -2.1400e+00
 -3.3000e-01 -1.7500e-01 -1.7000e-01 -3.2750e+00 -2.4000e+01 -7.3500e-01
 -5.5500e-01 -1.1100e+00 -2.0000e-01 -8.5000e-02 -6.5000e-01 -3.6000e-01
 -1.8500e-01 -1.0050e+00 -3.1550e+00 -2.4000e+00 -4.4000e-01 -3.6500e-01
 -3.0500e-01 -4.0000e-01 -2.2000e-01 -6.0500e-01 -1.2000e-01 -4.4500e-01
 -4.6000e-01 -7.0000e+00 -3.5000e-01  5.0500e-01 -1.5000e-01 -9.0000e+00
 -3.1500e-01 -7.7500e-01 -8.1500e-01 -4.5000e-01 -4.8450e+00 -4.2000e-01
 -1.0150e+00 -2.0150e+00 -4.3000e-01 -7.5500e-01 -9.1000e-01 -1.9500e-01
 -1.2300e+00 -1.2850e+00 -3.9000e-01 -1.1200e+00 -2.0000e+01 -1.5250e+00
 -1.1450e+00 -1.3500e-01 -2.0550e+00 -1.0200e+00 -1.0950e+00 -3.5700e+00
 -4.0500e-01 -4.6500e-01 -2.0100e+00 -1.9000e-01 -6.2000e-01 -5.1550e+00
 -1.1000e+01 -4.3500e-01 -7.0500e-01 -8.1000e-01 -1.0750e+00 -5.6500e-01
 -7.5000e-02 -1.8000e+01 -7.6500e-01 -1.4000e-01 -4.8000e+01 -1.0600e+00
 -4.4200e+00 -1.1700e+00 -8.3000e-01 -1.5000e+01 -2.2300e+00 -1.1150e+00
 -2.4000e-01 -6.1000e-01  2.0000e+00 -2.1200e+00 -2.3900e+00 -7.0000e-01
 -1.0500e+00 -1.0850e+00 -1.4000e+01 -1.4800e+00 -2.0900e+00 -9.9500e-01
 -1.9900e+00 -7.2000e-01 -7.8500e-01 -4.2500e-01 -7.2500e-01 -1.2650e+00
 -1.5200e+00 -1.4100e+00 -8.6050e+00  2.6500e-01 -1.0350e+00 -6.8000e-01
 -1.3000e-01 -2.7000e+01 -7.8000e-01 -8.2500e-01 -6.6500e-01 -9.4500e-01
 -6.7500e-01 -6.1500e-01 -9.8500e-01 -4.0000e+01 -1.1000e-01 -2.0200e+00
 -4.9800e+00 -1.0400e+00 -1.7000e+01 -5.0200e-01 -1.9450e+00 -1.6550e+00
 -6.2500e-01 -1.1000e+00 -9.7000e-01 -1.1900e+00 -1.6600e+00 -2.4200e+00
 -1.1350e+00 -7.7200e-01 -9.1500e-01 -1.9230e+00 -1.3950e+00 -9.6500e-01
 -2.0250e+00 -7.1000e-01 -1.6100e+00 -2.1600e+00 -2.0800e+00 -9.0000e-02
 -9.9000e-01 -8.7000e-01 -2.0300e+00 -1.5050e+00 -7.3000e-01 -3.6000e+01
 -2.0400e+00 -6.4500e-01 -9.5000e-02 -1.4750e+00 -2.0050e+00 -1.6000e-01
 -4.2550e+00 -2.9900e+00 -2.0500e+00 -1.1650e+00 -6.3500e-01 -1.6300e+00
 -1.5600e+00 -1.6050e+00 -1.0800e+00 -2.6800e-01 -1.7500e+00 -1.1500e-01
 -2.3350e+00 -1.6700e+00 -8.6000e-01 -8.4000e-01 -2.1150e+00 -1.5500e-01
 -2.1950e+00 -9.0500e-01 -1.4400e+00 -2.0000e+02 -1.9250e+00 -5.0300e-01
 -9.6000e-01 -7.2200e-01 -2.5850e+00 -1.1750e+00 -5.0700e-01 -4.9400e-01
 -2.0450e+00 -3.4300e-01 -1.5500e+00 -2.0850e+00 -3.0250e+00 -8.5500e-01
 -7.8400e-01 -3.4700e-01 -1.5850e+00 -6.3000e-01 -1.0550e+00 -6.5000e-02
 -1.3150e+00 -1.8350e+00 -2.3000e+01  7.0000e+00 -2.8300e+00 -1.1250e+00
 -1.5150e+00 -4.0050e+00 -2.1500e+00 -1.2500e+00 -6.0000e-01 -5.0300e+00
 -1.1600e+00 -1.9300e+00 -1.8200e+00 -2.0600e+00 -1.1850e+00 -2.5700e+00
 -6.9100e+00 -4.0150e+00 -4.0250e+00 -1.1950e+00 -1.0900e+00 -1.2400e+00
 -2.5550e+00 -5.0200e+00 -5.0100e+00 -2.1000e+00 -1.9100e+00 -1.2550e+00
 -1.0500e-01 -1.9950e+00 -2.8000e+01 -1.5700e+00 -1.2255e+01 -2.5150e+00
 -5.0100e-01  5.2500e-01  3.0000e+00  3.1000e-01 -5.6500e+00 -5.0400e-01
 -1.2500e-01 -2.0750e+00 -2.9950e+00  5.0000e+00 -2.2450e+00 -4.9800e-01
 -1.6150e+00 -3.8000e+01 -4.1950e+00 -1.9500e+00 -2.4700e+00 -1.3350e+00
 -2.9650e+00 -2.6700e+00  6.0000e+00 -3.1000e+00 -2.2650e+00 -4.4750e+00
 -1.1800e+00 -5.0600e-01 -2.1700e+00 -1.9000e+00 -2.7750e+00 -1.3100e+00
 -5.0500e+00 -5.9200e+00 -1.8700e+00 -1.0700e+00 -8.7500e-01 -3.0000e+01
 -1.9800e+00 -1.7000e+00 -1.4650e+00 -2.2100e-01]"
7,TAXGROUP,1,['RST']
8,TRANSACTIONSTATUS,1,[2.]
9,DISCAMOUNT,134,"[0.0000e+00 7.9400e+02 4.9500e+00 1.2250e+02 8.9850e+01 2.9950e+01
 2.0670e+02 1.1480e+02 2.4800e+02 1.6000e+01 5.2500e+00 4.8000e+01
 1.3400e+02 1.2400e+02 1.9000e+02 1.5100e+02 3.2000e+01 1.3770e+01
 1.5230e+01 1.6930e+01 1.6070e+01 3.0200e+02 1.1900e+01 9.9000e+00
 6.7000e+00 1.9766e+02 4.8200e+00 1.2250e+01 1.8000e+01 4.0000e+01
 6.0400e+02 2.9800e+02 3.5940e+01 1.5880e+03 2.4950e+01 1.1500e+01
 5.2000e+00 7.5000e+00 6.0000e+00 2.3600e+01 1.0400e+01 2.6000e+00
 2.7450e+01 1.7000e+01 3.2500e+01 1.4700e+01 1.0800e+02 1.8450e+01
 9.7000e+00 7.4000e+00 1.2900e+01 9.9500e+00 6.4000e+00 7.0580e+01
 3.2140e+01 3.3860e+01 2.5000e+01 4.9900e+01 1.9700e+02 3.9800e+02
 1.6270e+01 1.8730e+01 7.9600e+02 3.2000e+00 4.5000e+00 4.0000e+00
 5.1000e+00 7.0000e+00 4.7500e+00 6.5000e+00 1.0750e+01 4.4500e+00
 1.1200e+01 4.8500e+00 2.4900e+01 9.0000e+00 1.5500e+01 5.4500e+00
 4.1000e+00 1.4400e+01 5.7000e+00 2.7000e+00 4.2000e+00 8.2000e+00
 4.8897e+02 1.0000e-02 1.9950e+01 8.4500e+00 2.0920e+01 8.7000e+00
 1.0450e+01 8.6500e+00 1.3400e+01 2.2000e+00 3.6000e+00 1.9600e+01
 2.3350e+01 2.4800e+01 2.0460e+01 1.8960e+01 1.7400e+01 1.4900e+01
 1.7710e+01 2.0960e+01 3.9900e+01 2.4700e+01 2.5140e+01 2.4020e+01
 5.4000e+00 1.0200e+01 1.5920e+03 6.2500e+00 1.3900e+01 4.9000e+00
 1.2200e+01 7.9000e+00 8.9000e+00 2.1200e+01 5.5000e+00 1.4500e+00
 1.4950e+01 9.2000e+00 1.0600e+01 2.1900e+01 1.9900e+02 1.6400e+01
 5.7500e+00 2.4000e+00 3.4950e+01 1.6470e+02 7.2400e+02 2.6700e+01
 2.4500e+00 7.4500e+00]"
10,COSTAMOUNT,3586,[248.   198.   178.   ... 250.11 178.18 139.72]
11,TRANSDATE,14,"['2019-03-01T00:00:00.000000000' '2019-03-02T00:00:00.000000000'
 '2019-03-03T00:00:00.000000000' '2019-03-04T00:00:00.000000000'
 '2019-03-05T00:00:00.000000000' '2019-03-06T00:00:00.000000000'
 '2019-03-07T00:00:00.000000000' '2019-10-01T00:00:00.000000000'
 '2019-10-02T00:00:00.000000000' '2019-10-03T00:00:00.000000000'
 '2019-10-04T00:00:00.000000000' '2019-10-05T00:00:00.000000000'
 '2019-10-06T00:00:00.000000000' '2019-10-07T00:00:00.000000000']"
12,TRANSTIME,34616,[  721. 39365. 39460. ... 76598. 76607. 76618.]
13,SHIFTDATE,1,['1900-01-01T00:00:00.000000000']
14,NETAMOUNT,2579,[ -248.     198.    -198.   ...  -307.7  -4656.41  -687.18]
15,TAXAMOUNT,1079,[   0.     -2.91   -8.43 ...  -52.3  -791.59 -116.82]
16,STATEMENTID,16,"['JT-ST-000404' 'JT-ST-000405' 'JT-ST-000406' 'JT-ST-000407'
 'JT-ST-000408' 'JT-ST-000409' 'JT-ST-000410' 'JT-ST-000411'
 'JT-ST-000620' 'JT-ST-000619' 'JT-ST-000621' 'JT-ST-000622'
 'JT-ST-000623' 'JT-ST-000624' 'JT-ST-000625' 'JT-ST-000626']"
17,CUSTACCOUNT,3,['Cust-000001' 'Cust-000474' 'Cust-000002']
18,STORE,1,['JT-ST']
19,ITEMIDSCANNED,2,[0. 1.]
20,KEYBOARDITEMENTRY,2,[1. 0.]
21,PRICECHANGE,1,[0.]
22,LINEWASDISCOUNTED,2,[0. 1.]
23,RETURNNOSALE,2,[0. 1.]
24,TERMINALID,3,['JT-ST-T1' 'JT-ST-T2' 'JT-ST-T3']
25,COUNTER,105,"[  1.   2.   6.   7.   8.   5.   4.   3.  11.  15.   9.  19.  18.  17.
  16.  14.  13.  12.  10.  36.  37.  20.  21.  22.  23.  24.  25.  26.
  27.  28.  29.  30.  31.  32.  33.  34.  35.  38.  39.  40.  41.  42.
  43.  44.  45.  46.  47.  48.  49.  50.  51.  52.  53.  54.  55.  56.
  57.  58.  59.  61.  62.  63.  64.  65.  66.  67.  68.  70.  71.  72.
  73.  74.  75.  76.  77.  78.  79.  80.  81.  82.  84.  85.  86.  60.
  69.  83.  87.  88.  89.  90.  91.  92.  93.  94.  95.  96.  97.  98.
  99. 100. 101. 102. 103. 104. 105.]"
26,UNIT,4,['kg' 'pcs' 'Piece' 1]
27,UNITQTY,364,"[-1.0000e+00  1.0000e+00 -8.3500e-01 -2.0000e+00 -5.0000e+00 -3.0000e+00
 -4.0000e+00 -5.4000e-01 -1.0100e+00 -1.3000e+01 -2.9000e-01 -2.5000e+01
 -5.2500e-01 -2.5000e-01 -5.0500e-01 -5.1000e-01 -2.9500e-01 -4.9500e-01
 -5.3500e-01 -1.0000e+01 -2.5500e-01 -2.8500e-01 -5.1500e-01 -3.1000e-01
 -7.4000e-01 -3.9500e-01 -6.0000e+00 -4.9000e-01 -3.7000e-01 -5.2000e-01
 -2.7000e-01 -3.2500e-01 -5.5000e-01 -1.8000e-01 -3.8500e-01 -5.0000e-01
 -2.3500e-01 -6.6000e-01 -5.6000e-01 -2.8000e-01 -5.8500e-01 -1.2000e+01
 -5.7500e-01 -5.8000e-01 -8.2000e-01 -5.4500e-01 -3.4000e-01 -4.8500e-01
 -3.2000e-01 -6.7000e-01 -4.8000e-01 -2.1000e-01 -5.3000e-01 -2.4500e-01
 -4.7500e-01 -3.5500e-01 -3.4500e-01 -3.3500e-01 -4.7000e-01 -5.9000e-01
 -2.2900e+00 -8.0000e+00 -1.9400e+00 -8.0000e-01 -7.4500e-01 -2.6500e-01
 -4.1000e-01 -2.1500e-01 -4.5500e-01 -2.7500e-01 -2.6000e-01 -3.0000e-01
 -6.8500e-01 -3.7500e-01 -1.6000e+01 -1.0250e+00 -3.8000e-01 -1.1500e+00
 -7.6000e-01 -5.9500e-01 -7.9000e-01 -8.0500e-01 -2.2500e-01 -1.0300e+00
 -4.1500e-01 -5.7000e-01 -7.7000e-01 -2.3000e-01 -2.0500e-01 -7.9500e-01
 -1.6500e-01 -1.4500e-01 -3.3000e+01 -2.6000e+01 -7.5000e-01 -2.1400e+00
 -3.3000e-01 -1.7500e-01 -1.7000e-01 -3.2750e+00 -2.4000e+01 -7.3500e-01
 -5.5500e-01 -1.1100e+00 -2.0000e-01 -8.5000e-02 -6.5000e-01 -3.6000e-01
 -1.8500e-01 -1.0050e+00 -3.1550e+00 -2.4000e+00 -4.4000e-01 -3.6500e-01
 -3.0500e-01 -4.0000e-01 -2.2000e-01 -6.0500e-01 -1.2000e-01 -4.4500e-01
 -4.6000e-01 -7.0000e+00 -3.5000e-01  5.0500e-01 -1.5000e-01 -9.0000e+00
 -3.1500e-01 -7.7500e-01 -8.1500e-01 -4.5000e-01 -4.8450e+00 -4.2000e-01
 -1.0150e+00 -2.0150e+00 -4.3000e-01 -7.5500e-01 -9.1000e-01 -1.9500e-01
 -1.2300e+00 -1.2850e+00 -3.9000e-01 -1.1200e+00 -2.0000e+01 -1.5250e+00
 -1.1450e+00 -1.3500e-01 -2.0550e+00 -1.0200e+00 -1.0950e+00 -3.5700e+00
 -4.0500e-01 -4.6500e-01 -2.0100e+00 -1.9000e-01 -6.2000e-01 -5.1550e+00
 -1.1000e+01 -4.3500e-01 -7.0500e-01 -8.1000e-01 -1.0750e+00 -5.6500e-01
